"","Y","Y2","FEM","AGE","EDU"
"227",225,226,1,30,9
"228",0,1,1,43,9
"229",275,276,0,44,16
"230",175,176,1,31,12
"231",225,226,1,60,9
"232",137.5,138.5,0,44,12
"233",275,276,0,62,9
"234",25,26,1,63,12
"235",600,601,0,36,12
"236",700,701,0,61,12
"237",112.5,113.5,1,35,12
"238",0,1,1,36,14
"239",425,426,0,50,12
"240",225,226,0,51,16
"241",425,426,0,57,16
"242",375,376,0,35,16
"243",137.5,138.5,1,45,12
"244",425,426,0,27,16
"245",500,501,0,34,16
"246",275,276,1,54,14
"247",500,501,1,53,14
"248",425,426,0,23,12
"249",275,276,0,30,12
"250",87.5,88.5,1,63,12
"251",137.5,138.5,1,28,16
"252",275,276,0,64,9
"253",225,226,1,62,12
"254",62.5,63.5,1,56,12
"255",375,376,0,43,12
"256",375,376,0,44,16
"257",500,501,1,46,12
"258",87.5,88.5,1,37,12
"259",25,26,1,23,12
"260",87.5,88.5,0,25,18
"261",600,601,1,44,12
"262",800,801,0,46,12
"263",325,326,0,62,12
"264",800,801,0,34,12
"265",25,26,1,61,9
"266",225,226,1,38,16
"267",0,1,1,21,12
"268",500,501,1,35,18
"269",500,501,1,39,16
"270",325,326,1,36,14
"271",87.5,88.5,1,42,12
"272",375,376,0,29,12
"273",500,501,0,49,12
"274",375,376,1,31,16
"275",1000,1001,0,63,12
"276",0,1,1,48,12
"277",0,1,1,47,12
"278",25,26,0,38,12
"279",425,426,0,64,12
"280",2000,2001,0,58,9
"281",112.5,113.5,1,64,12
"282",0,1,1,44,16
"283",25,26,1,61,16
"284",325,326,0,30,16
"285",0,1,1,23,12
"286",1100,1101,0,40,16
"287",275,276,1,46,16
"288",87.5,88.5,1,35,12
"289",500,501,1,34,16
"290",600,601,0,52,16
"291",0,1,1,53,12
"292",175,176,1,25,14
"293",175,176,1,63,12
"294",1400,1401,1,53,18
"295",0,1,1,58,14
"296",112.5,113.5,1,44,12
"297",800,801,0,57,14
"298",175,176,1,47,12
"299",175,176,1,22,12
"300",175,176,1,24,16
"301",800,801,0,58,9
"302",25,26,1,49,14
"303",225,226,0,52,12
"304",25,26,1,23,16
"305",0,1,1,40,14
"306",325,326,0,52,12
"307",0,1,0,20,16
"308",137.5,138.5,1,20,16
"309",275,276,1,39,15
"310",325,326,0,32,12
"311",325,326,0,61,9
"312",112.5,113.5,1,48,14
"313",500,501,1,34,14
"314",0,1,1,37,16
"315",0,1,1,37,12
"316",1100,1101,0,53,16
"317",175,176,0,61,16
"318",700,701,1,47,16
"319",175,176,1,28,12
"320",425,426,1,59,12
"321",112.5,113.5,1,60,16
"322",375,376,0,35,12
"323",325,326,1,22,16
"324",600,601,1,49,12
"325",0,1,1,31,12
"326",225,226,0,59,14
"327",0,1,1,43,14
"328",900,901,0,54,16
"329",25,26,1,28,12
"330",112.5,113.5,1,44,12
"331",275,276,1,22,12
"332",112.5,113.5,0,60,12
"333",325,326,1,36,16
"334",275,276,1,60,12
"335",225,226,1,34,16
"336",62.5,63.5,1,59,16
"337",225,226,1,55,12
"338",175,176,1,57,16
"339",87.5,88.5,1,44,14
"340",275,276,1,62,12
"341",0,1,1,60,14
"342",375,376,1,37,12
"343",112.5,113.5,1,30,16
