"","income_log"
"1",5.61677109766657
"2",5.61677109766657
"3",6.80239476332431
"4",4.92362391710663
"5",6.21460809842219
"6",5.16478597392351
"7",2.52572864430826
"8",6.21460809842219
"9",5.41610040220442
"10",3.62434093297637
"11",6.80239476332431
"12",6.21460809842219
"13",4.47163879336357
"14",5.16478597392351
"15",6.39692965521615
"16",5.61677109766657
"17",4.92362391710663
"18",7.00306545878646
"19",3.62434093297637
"20",6.5510803350434
"21",6.05208916892442
"22",3.62434093297637
"23",6.5510803350434
"24",4.47163879336357
"25",6.5510803350434
"26",4.92362391710663
"27",6.05208916892442
"28",5.16478597392351
"29",4.47163879336357
"30",6.21460809842219
"31",5.41610040220442
"32",5.92692602597041
"33",6.21460809842219
"34",6.05208916892442
"35",4.47163879336357
"36",5.61677109766657
"37",4.47163879336357
"38",5.41610040220442
"39",3.62434093297637
"40",5.92692602597041
"41",4.92362391710663
"42",5.78382518232974
"43",6.05208916892442
"44",5.78382518232974
"45",4.47163879336357
"46",6.05208916892442
"47",4.92362391710663
"48",6.39692965521615
"49",5.61677109766657
"50",5.78382518232974
"51",4.92362391710663
"52",5.16478597392351
"53",5.92692602597041
"54",2.52572864430826
"55",6.5510803350434
"56",5.41610040220442
"57",6.39692965521615
"58",4.47163879336357
"59",4.92362391710663
"60",4.92362391710663
"61",4.47163879336357
"62",5.41610040220442
"63",4.13516655674236
"64",6.05208916892442
"65",5.78382518232974
"66",4.92362391710663
"67",5.61677109766657
"68",6.21460809842219
"69",6.21460809842219
"70",5.61677109766657
"71",7.37775890822787
"72",6.68461172766793
"73",6.21460809842219
"74",4.13516655674236
"75",4.47163879336357
"76",5.41610040220442
"77",4.47163879336357
"78",4.47163879336357
"79",4.47163879336357
"80",6.21460809842219
"81",6.05208916892442
"82",5.41610040220442
"83",5.61677109766657
"84",5.41610040220442
"85",4.47163879336357
"86",5.78382518232974
"87",6.68461172766793
"88",2.52572864430826
"89",6.39692965521615
"90",5.78382518232974
"91",5.61677109766657
"92",5.61677109766657
"93",6.5510803350434
"94",6.21460809842219
"95",6.39692965521615
"96",4.72295322164447
"97",7.09007683577609
"98",6.5510803350434
"99",4.72295322164447
"100",6.5510803350434
"101",5.16478597392351
"102",7.00306545878646
"103",5.61677109766657
"104",6.21460809842219
"105",4.72295322164447
"106",6.39692965521615
"107",5.61677109766657
"108",6.39692965521615
"109",6.21460809842219
"110",4.72295322164447
"111",5.16478597392351
"112",6.05208916892442
"113",3.62434093297637
"114",4.92362391710663
"115",5.61677109766657
"116",5.16478597392351
"117",5.61677109766657
"118",4.72295322164447
"119",4.47163879336357
"120",5.16478597392351
"121",5.78382518232974
"122",6.21460809842219
"123",6.5510803350434
"124",4.47163879336357
"125",5.61677109766657
"126",6.68461172766793
"127",4.72295322164447
"128",4.72295322164447
"129",6.21460809842219
"130",6.21460809842219
"131",4.92362391710663
"132",5.16478597392351
"133",4.47163879336357
"134",5.78382518232974
"135",5.78382518232974
"136",5.92692602597041
"137",5.61677109766657
"138",5.78382518232974
"139",4.92362391710663
"140",5.61677109766657
"141",5.41610040220442
"142",2.52572864430826
"143",5.16478597392351
"144",6.68461172766793
"145",4.72295322164447
"146",6.21460809842219
"147",5.61677109766657
"148",6.05208916892442
"149",4.13516655674236
"150",5.78382518232974
"151",6.21460809842219
"152",5.78382518232974
"153",6.39692965521615
"154",4.72295322164447
"155",5.41610040220442
"156",5.61677109766657
"157",4.47163879336357
"158",4.92362391710663
"159",4.92362391710663
"160",5.78382518232974
"161",4.47163879336357
"162",7.00306545878646
"163",5.92692602597041
"164",6.39692965521615
"165",6.68461172766793
"166",6.90775527898214
"167",5.61677109766657
"168",5.78382518232974
"169",5.41610040220442
"170",3.62434093297637
"171",2.52572864430826
"172",5.61677109766657
"173",6.68461172766793
"174",5.78382518232974
"175",4.13516655674236
"176",6.05208916892442
"177",5.41610040220442
"178",7.00306545878646
"179",5.78382518232974
"180",4.47163879336357
"181",3.62434093297637
"182",2.52572864430826
"183",4.92362391710663
"184",6.05208916892442
"185",5.61677109766657
"186",5.61677109766657
"187",6.21460809842219
"188",5.92692602597041
"189",5.41610040220442
"190",5.78382518232974
"191",5.41610040220442
"192",5.41610040220442
"193",4.13516655674236
